Individual,SampleID,1,2,3,4
Individual3.1,M9Akey217.141086,-0.154149475,-0.133305897,0.128911287,0.139630069
Individual3.2,M9Bkey217.141032,-0.241319312,-0.090300564,-0.056054451,-0.017387603
Individual3.3,M9Ckey217.141013,-0.223245266,-0.081354018,-0.021429748,0.026525737
Individual3.4,M9Dkey217.141053,-0.242268855,-0.136107606,0.007296441,0.073140273
Individual3.5,M9Ekey217.141044,-0.183877339,-0.078836342,0.066125791,0.008507772
Individual3.6,M9Enter217.141084,-0.218101663,-0.091683385,0.063601103,-0.057131091
Individual3.7,M9Fkey217.141065,-0.228868499,-0.126065599,-0.043772504,0.022041784
Individual3.8,M9Gkey217.141099,-0.133000602,-0.119026637,0.034362035,0.013714682
Individual3.9,M9Hkey217.140999,-0.190226575,-0.197864479,0.027292955,0.057122678
Individual3.10,M9Indl217.141066,-0.046731684,-0.102359223,-0.21866154,-0.089830865
Individual3.11,M9Indr217.140998,-0.16469333,-0.13837032,-0.245098225,-0.030800207
Individual3.12,M9Kkey217.141033,-0.226875948,-0.25175467,0.174146201,0.098769085
Individual3.13,M9Midl217.141043,-0.165847675,-0.102021125,-0.163374821,-0.017719273
Individual3.14,M9Midr217.141060,-0.124891349,-0.064095875,-0.255399003,0.002111341
Individual3.15,M9Mkey217.141007,-0.205621551,-0.059964716,-0.08431799,-0.020013735
Individual3.16,M9Nkey217.141010,-0.245714068,-0.104297515,0.060221789,0.032585421
Individual3.17,M9Okey217.141076,-0.171522145,-0.137762048,-0.028791306,0.058327473
Individual3.18,M9Pinl217.141035,-0.078925994,0.018160479,-0.193355424,-0.017477358
Individual3.19,M9Pinr217.141002,-0.118226149,-0.181541166,-0.10456419,-0.082055624
Individual3.20,M9Pkey217.141096,-0.264642012,-0.12804791,0.188123161,0.221464413
Individual3.21,M9Qkey217.141019,-0.235537503,-0.162244662,0.068696526,0.024764149
Individual3.22,M9Rinl217.141020,-0.145454611,-0.019748864,-0.190102919,0.018133579
Individual3.23,M9Rinr217.141080,-0.142360713,-0.100037581,-0.246415153,-0.033933317
Individual3.24,M9Skey217.141004,-0.248854337,-0.181240832,0.090787154,0.142195268
Individual3.25,M9Space217.141079,-0.235343338,-0.14998978,0.059830076,0.107445811
Individual3.26,M9Thml217.141021,-0.190025261,-0.163756658,-0.167468766,-0.089162988
Individual3.27,M9Thmr217.141049,-0.071572029,-0.031028513,-0.259952335,0.008014759
Individual3.28,M9Vkey217.141018,-0.145173068,-0.050328322,-0.053495975,0.034233021
Individual3.29,M9Wkey217.141090,-0.20766412,-0.210066083,0.031393556,-0.027977116
Individual3.30,M9Xkey217.141072,-0.233381624,-0.101035264,-0.029716303,0.044401026
Individual3.31,M9Ykey217.141029,-0.262587247,-0.102591031,0.07121653,0.042682754
